tweet_id,created_at,text,polarity,subjectivity,sentiment,companies_mentioned,analysis_date,created_date
1885912133776318962,2025-02-02 04:44:25+00:00,My small brother made a purchase through google play store in some games by accident. I requested @GooglePlay to refund it but they denied. Please help @OfficialBGMIIND @Google . I need my refund its really frustrating.,-0.4569,0.65,Negative,@Google,2025-02-01 23:45:02.400626,2025-02-02
1885912086078697793,2025-02-02 04:44:14+00:00,@DIZZ_NH @Google DM me for help with your Google account,0.4019,0.0,Positive,@Google,2025-02-01 23:45:02.400874,2025-02-02
1885911969183785188,2025-02-02 04:43:46+00:00,"@Microsoft 

OneDrive is a real pain in the ass.",-0.7783,0.30000000000000000,Negative,@Microsoft,2025-02-01 23:45:02.401032,2025-02-02
1885911689658573156,2025-02-02 04:42:40+00:00,"@itsurs234 @RadioGenoa @elonmusk @Apple For one thing, I’m not white you dumbass I’m Mexican American. For another thing, the people you need to be mad at are the ones that sold the resources. The gangs that you have in Africa that made the money off of it. Like always you ignorant idiots always blaming the wrong… https://t.co/4ulLTdfgzK",-0.4724,0.36,Negative,@Apple,2025-02-01 23:45:02.401394,2025-02-02
1885911560511500528,2025-02-02 04:42:09+00:00,@ChawnRivers @Google It happened to me last year and the system didn't do anything. I Complained out to @Louiscr4ck  here and they fixed it within 50 minutes.,0.3089,0.15555555555555600,Positive,@Google,2025-02-01 23:45:02.401671,2025-02-02
1885911486100377786,2025-02-02 04:41:51+00:00,"@Microsoft 

Is this the authorized campaign for Stinger 2 (Win13) or the unauthorized one? I know Marketing was doing both, but I can never remember which is which. , -zbill.",0.0,0.0,Neutral,@Microsoft,2025-02-01 23:45:02.401860,2025-02-02
1885911449647935640,2025-02-02 04:41:42+00:00,"@chrisluxonmp Incomprehensible my dear friends is insanity you are incomprehensible @jacindaardern
@NZParliament @WhiteHouse 
@chrishipkins @chrisluxonmp @elonmusk @CIA @nzpolice @FBI @Google @finkd @CNN @BBC @NobelPrize @UN @SenateGOP @UKParliament @RoyalFamily @1NewsNZ @nzherald @NZStuff.",0.25,0.0,Positive,@Google,2025-02-01 23:45:02.402050,2025-02-02
1885911392454164547,2025-02-02 04:41:29+00:00,@Mansuetudes @Google I got similar issues earlier but mine was fixed by @Louiscr4ck he has a fix for this,0.0,0.3666666666666670,Neutral,@Google,2025-02-01 23:45:02.402171,2025-02-02
1885911079286636563,2025-02-02 04:40:14+00:00,@apple why do you make me put my recyclable files in the trash 🥸♻️,0.0,0.0,Neutral,@Apple,2025-02-01 23:45:02.402318,2025-02-02
1885910913418477959,2025-02-02 04:39:34+00:00,@emilyteriyaki @HitboTC @IndianaJones @Microsoft @XboxGamePassPC @Xbox 😂it’s a strategy!!!!,0.0,0.0,Neutral,@Microsoft,2025-02-01 23:45:02.402460,2025-02-02
